TrainerID,TrainerClass,TrainerName,StructType,SlotNum,Pokemon,Level,Move1,Move2,Move3,Move4,Ability,HeldItem,IVs
1,LEADER,,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
2,AQUA,,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
3,AQUA,,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
69,LEADER,,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
70,MAGMA,,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
71,MAGMA,,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
78,ADMIN,MATT,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
79,ADMIN,SHELLY,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
80,ADMIN,TABITHA,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
81,ADMIN,COURTNEY,0,1,EKANS,5,-,-,-,-,INTIMIDATE / SHED SKIN,None,0
326,???(#81),TERRY,0,1,SQUIRTLE,5,-,-,-,-,TORRENT,None,0
327,???(#81),TERRY,0,1,BULBASAUR,5,-,-,-,-,OVERGROW,None,0
328,???(#81),TERRY,0,1,CHARMANDER,5,-,-,-,-,BLAZE,None,0
329,???(#81),TERRY,1,1,PIDGEY,10,-,-,-,-,KEEN EYE,REVIVAL HERB,50
330,???(#81),TERRY,1,1,PIDGEY,10,-,-,-,-,KEEN EYE,REVIVAL HERB,50
331,???(#81),TERRY,1,1,PIDGEY,10,-,-,-,-,KEEN EYE,REVIVAL HERB,50
332,???(#81),TERRY,1,1,PIDGEOTTO,21,-,-,-,-,KEEN EYE,REVIVAL HERB,50
332,???(#81),TERRY,1,2,DIGLETT,16,-,-,-,-,SAND VEIL / ARENA TRAP,None,28
332,???(#81),TERRY,1,3,KADABRA,20,-,-,-,-,SYNCHRONIZE / INNER FOCUS,SUN STONE,50
333,???(#81),TERRY,1,1,PIDGEOTTO,21,-,-,-,-,KEEN EYE,REVIVAL HERB,50
333,???(#81),TERRY,1,2,DIGLETT,16,-,-,-,-,SAND VEIL / ARENA TRAP,None,28
333,???(#81),TERRY,1,3,KADABRA,20,-,-,-,-,SYNCHRONIZE / INNER FOCUS,SUN STONE,50
334,???(#81),TERRY,1,1,PIDGEOTTO,21,-,-,-,-,KEEN EYE,REVIVAL HERB,50
334,???(#81),TERRY,1,2,DIGLETT,16,-,-,-,-,SAND VEIL / ARENA TRAP,None,28
334,???(#81),TERRY,1,3,KADABRA,20,-,-,-,-,SYNCHRONIZE / INNER FOCUS,SUN STONE,50
348,LEADE,GIOVANNI,0,1,KANGASKHAN,36,-,-,-,-,EARLY BIRD,None,250
348,LEADE,GIOVANNI,0,2,STEELIX,36,-,-,-,-,ROCK HEAD / STURDY,None,250
348,LEADE,GIOVANNI,0,3,RHYPERIOR,38,-,-,-,-,LIGHTNINGROD / ROCK HEAD,None,250
