TrainerID,TrainerClass,TrainerName,StructType,SlotNum,Pokemon,Level,Move1,Move2,Move3,Move4,MoveSource,Ability,HeldItem,IVs
25,ELITE FOUR,SIDNEY,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
26,ELITE FOUR,PHOEBE,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
27,RIVAL,ROXANNE,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
28,RIVAL,BRAWLY,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
29,RIVAL,TATELIZA,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
78,ADMIN,MATT,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
79,ADMIN,SHELLY,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
80,ADMIN,TABITHA,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
81,ADMIN,COURTNEY,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
82,RIVAL,WATTSON,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
83,RIVAL,FLANNERY,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
84,RIVAL,NORMAN,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
85,RIVAL,WINONA,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
86,RIVAL,WALLACE,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
87,ELITE FOUR,GLACIA,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
88,ELITE FOUR,DRAKE,0,1,EKANS,5,WRAP,POISON STING,LEER,BITE,Level-up,INTIMIDATE / SHED SKIN,None,0
134,RIVAL,EDMOND,0,1,MACHOP,24,FOCUS ENERGY,KARATE CHOP,SEISMIC TOSS,FORESIGHT,Level-up,GUTS,None,0
134,RIVAL,EDMOND,0,2,CLOYSTER,24,WITHDRAW,ICICLE SPEAR,SUPERSONIC,WATER PULSE,Level-up,SHELL ARMOR,None,0
135,RIVAL,TREVOR,0,1,MACHOKE,23,FOCUS ENERGY,KARATE CHOP,SEISMIC TOSS,FORESIGHT,Level-up,GUTS,None,0
135,RIVAL,TREVOR,0,2,TENTACOOL,23,POISON STING,SUPERSONIC,CONSTRICT,ACID,Level-up,CLEAR BODY / LIQUID OOZE,None,0
136,RIVAL,LEONARD,0,1,CLOYSTER,27,WITHDRAW,ICICLE SPEAR,SUPERSONIC,WATER PULSE,Level-up,SHELL ARMOR,None,0
137,RIVAL,DUNCAN,0,1,HORSEA,22,WHIRLPOOL,SMOKESCREEN,LEER,WATER GUN,Level-up,SWIFT SWIM,None,0
137,RIVAL,DUNCAN,0,2,SHELLDER,22,WITHDRAW,ICICLE SPEAR,SUPERSONIC,WATER PULSE,Level-up,SHELL ARMOR,None,0
137,RIVAL,DUNCAN,0,3,TENTACOOL,22,POISON STING,SUPERSONIC,CONSTRICT,ACID,Level-up,CLEAR BODY / LIQUID OOZE,None,0
138,RIVAL,HUEY,0,1,TENTACOOL,24,POISON STING,SUPERSONIC,CONSTRICT,ACID,Level-up,CLEAR BODY / LIQUID OOZE,None,0
138,RIVAL,HUEY,0,2,STARYU,24,RAPID SPIN,RECOVER,CAMOUFLAGE,SWIFT,Level-up,ILLUMINATE / NATURAL CURE,None,0
139,RIVAL,DYLAN,0,1,HORSEA,23,WHIRLPOOL,SMOKESCREEN,LEER,WATER GUN,Level-up,SWIFT SWIM,None,0
139,RIVAL,DYLAN,0,2,WARTORTLE,23,WITHDRAW,WATER GUN,BITE,RAPID SPIN,Level-up,TORRENT,None,0
