ID,Name,Type1,Type2,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,Ability1,Ability2,CatchRate,GenderRatio,EggGroup1,EggGroup2,BaseExperience,BaseFriendship,GrowthRate,EXPGroup
0,??????????,0,0,0,0,0,0,0,0,-------,-------,0,100% Male,None,None,0,0,Medium Fast,
1,BULBASAUR,12,3,45,49,49,65,65,45,OVERGROW,-------,45,87% Male,Monster,Grass,60,70,Medium Fast,
2,IVYSAUR,12,3,60,62,63,80,80,60,OVERGROW,-------,45,87% Male,Monster,Grass,121,70,Medium Fast,
3,VENUSAUR,12,3,80,82,83,100,100,80,OVERGROW,-------,45,87% Male,Monster,Grass,185,70,Medium Fast,
4,ECOSAUR,12,3,84,90,85,118,118,80,CHLOROPHYLL,-------,45,87% Male,Monster,Grass,204,70,Medium Fast,
5,TERARISAUR,12,3,90,106,91,129,129,80,CHLOROPHYLL,-------,45,87% Male,Monster,Grass,215,70,Medium Fast,
6,SYMBISAUR,12,3,98,119,93,138,138,74,CHLOROPHYLL,-------,45,87% Male,Monster,Grass,230,70,Medium Fast,
7,CHARMANDER,10,10,39,52,43,60,50,65,BLAZE,-------,45,87% Male,Monster,Dragon,58,70,Medium Fast,
8,CHARMELEON,10,10,58,64,58,80,65,80,BLAZE,-------,45,87% Male,Monster,Dragon,115,70,Medium Fast,
9,CHARIZARD,10,2,78,84,78,109,85,100,BLAZE,-------,45,87% Male,Monster,Dragon,179,70,Medium Fast,
10,CHARIGUANA,10,2,83,96,78,118,85,117,BLAZE,-------,45,87% Male,Monster,Dragon,199,70,Medium Fast,
11,CHARIANA,10,11,91,108,78,132,85,127,MARVEL SCALE,-------,45,87% Male,Monster,Dragon,211,70,Medium Fast,
12,CHARIATHAN,10,11,93,132,80,139,88,127,MARVEL SCALE,-------,45,87% Male,Monster,Dragon,220,70,Medium Fast,
13,SQUIRTLE,11,11,44,48,65,50,64,43,TORRENT,-------,45,87% Male,Monster,Water1,62,70,Medium Fast,
14,WARTORTLE,11,11,59,63,80,65,80,58,TORRENT,-------,45,87% Male,Monster,Water1,118,70,Medium Fast,
15,BLASTOISE,11,11,79,83,100,85,105,78,TORRENT,-------,45,87% Male,Monster,Water1,182,70,Medium Fast,
16,FERRAPIN,11,11,85,90,113,92,116,84,SHELL ARMOR,-------,45,87% Male,Monster,Water1,202,70,Medium Fast,
17,FORTOISE,11,8,94,99,123,102,125,87,SHELL ARMOR,-------,45,87% Male,Monster,Water1,218,70,Medium Fast,
18,TURTILLERY,11,8,94,105,133,118,135,80,SHELL ARMOR,-------,45,87% Male,Monster,Water1,235,70,Medium Fast,
19,CATERPIE,6,6,45,30,35,20,20,45,SHIELD DUST,-------,255,50% Male & 50% Female,Bug,Bug,53,70,Medium Fast,
20,METAPOD,6,6,50,20,55,25,25,30,SHED SKIN,-------,120,50% Male & 50% Female,Bug,Bug,72,70,Medium Fast,
21,BUTTERFREE,6,2,60,45,50,90,80,70,COMPOUNDEYES,-------,45,50% Male & 50% Female,Bug,Bug,160,70,Medium Fast,
22,BUTTEFLARE,6,10,70,45,50,105,95,80,BLAZE,-------,45,50% Male & 50% Female,Bug,Bug,179,70,Medium Fast,
