DexID,Pokemon,Move1_Level,Move1_Name,Move2_Level,Move2_Name,Move3_Level,Move3_Name,Move4_Level,Move4_Name,Move5_Level,Move5_Name,Move6_Level,Move6_Name,Move7_Level,Move7_Name,Move8_Level,Move8_Name,Move9_Level,Move9_Name,Move10_Level,Move10_Name,Move11_Level,Move11_Name,Move12_Level,Move12_Name,Move13_Level,Move13_Name,Move14_Level,Move14_Name,Move15_Level,Move15_Name,Move16_Level,Move16_Name,Move17_Level,Move17_Name,Move18_Level,Move18_Name,Move19_Level,Move19_Name,Move20_Level,Move20_Name,Move21_Level,Move21_Name,Move22_Level,Move22_Name,Move23_Level,Move23_Name,Move24_Level,Move24_Name,Move25_Level,Move25_Name,Move26_Level,Move26_Name
1,BULBASAUR,1,TACKLE,1,GROWL,1,LEECH SEED,4,GROWL,7,LEECH SEED,10,VINE WHIP,15,POISONPOWDER,15,SLEEP POWDER,22,RAZOR LEAF,29,SWEET SCENT,32,SLUDGE BOMB,38,GROWTH,43,GIGA DRAIN,47,SYNTHESIS,56,SOLARBEAM,,,,,,,,,,,,,,,,,,,,,,
2,IVYSAUR,1,VINE WHIP,1,TACKLE,1,GROWL,1,LEECH SEED,4,GROWL,7,LEECH SEED,10,VINE WHIP,15,POISONPOWDER,15,SLEEP POWDER,22,RAZOR LEAF,29,SWEET SCENT,34,SLUDGE BOMB,41,GROWTH,46,GIGA DRAIN,53,SYNTHESIS,65,SOLARBEAM,70,FRENZY PLANT,,,,,,,,,,,,,,,,,,
3,VENUSAUR,1,VINE WHIP,1,TACKLE,1,GROWL,1,LEECH SEED,4,GROWL,7,LEECH SEED,10,VINE WHIP,15,POISONPOWDER,15,SLEEP POWDER,22,RAZOR LEAF,29,SWEET SCENT,34,SLUDGE BOMB,41,GROWTH,46,GIGA DRAIN,53,SYNTHESIS,65,SOLARBEAM,70,FRENZY PLANT,,,,,,,,,,,,,,,,,,
4,ECOSAUR,1,VINE WHIP,1,TACKLE,1,GROWL,1,LEECH SEED,4,GROWL,7,LEECH SEED,10,VINE WHIP,15,POISONPOWDER,15,SLEEP POWDER,22,RAZOR LEAF,29,SWEET SCENT,34,SLUDGE BOMB,41,GROWTH,46,GIGA DRAIN,53,SYNTHESIS,65,SOLARBEAM,70,FRENZY PLANT,,,,,,,,,,,,,,,,,,
5,TERARISAUR,1,VINE WHIP,1,TACKLE,1,GROWL,1,LEECH SEED,4,GROWL,7,LEECH SEED,10,VINE WHIP,15,POISONPOWDER,15,SLEEP POWDER,22,RAZOR LEAF,29,SWEET SCENT,34,SLUDGE BOMB,41,GROWTH,46,GIGA DRAIN,53,SYNTHESIS,65,SOLARBEAM,70,FRENZY PLANT,,,,,,,,,,,,,,,,,,
6,SYMBISAUR,1,SCRATCH,1,GROWL,7,EMBER,13,METAL CLAW,14,SMOKESCREEN,19,FIRE SPIN,25,SCARY FACE,31,FLAMETHROWER,37,SLASH,43,DRAGONBREATH,49,HEAT WAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CHARMANDER,1,SCRATCH,1,GROWL,1,EMBER,7,EMBER,13,METAL CLAW,16,SMOKESCREEN,20,FIRE SPIN,27,SCARY FACE,34,FLAMETHROWER,41,SLASH,48,DRAGONBREATH,55,HEAT WAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CHARMELEON,1,SCRATCH,1,GROWL,1,EMBER,1,METAL CLAW,1,HEAT WAVE,7,EMBER,13,METAL CLAW,20,SMOKESCREEN,27,SCARY FACE,34,FLAMETHROWER,36,WING ATTACK,44,SLASH,54,DRAGONBREATH,64,HEAT WAVE,,,,,,,,,,,,,,,,,,,,,,,,
9,CHARIZARD,1,SCRATCH,1,GROWL,1,EMBER,1,METAL CLAW,1,HEAT WAVE,7,EMBER,13,METAL CLAW,16,SMOKESCREEN,23,FIRE SPIN,27,SCARY FACE,34,FLAMETHROWER,36,WING ATTACK,44,SLASH,54,DRAGONBREATH,64,HEAT WAVE,,,,,,,,,,,,,,,,,,,,,,
10,CHARIGUANA,1,SCRATCH,1,GROWL,1,EMBER,1,METAL CLAW,1,HEAT WAVE,7,EMBER,13,METAL CLAW,16,SMOKESCREEN,23,FIRE SPIN,27,SCARY FACE,34,FLAMETHROWER,36,WING ATTACK,44,SLASH,54,DRAGONBREATH,64,HEAT WAVE,70,HYDRO PUMP,,,,,,,,,,,,,,,,,,,,
11,CHARIANA,1,SCRATCH,1,GROWL,1,EMBER,1,METAL CLAW,1,HEAT WAVE,7,EMBER,13,METAL CLAW,16,SMOKESCREEN,23,FIRE SPIN,27,SCARY FACE,34,FLAMETHROWER,36,WING ATTACK,44,SLASH,54,DRAGONBREATH,64,HEAT WAVE,70,HYDRO PUMP,,,,,,,,,,,,,,,,,,,,
12,CHARIATHAN,1,TACKLE,4,TAIL WHIP,7,BUBBLE,10,WITHDRAW,13,WATER GUN,18,BITE,21,RAPID SPIN,24,BUBBLEBEAM,28,PROTECT,33,RAIN DANCE,40,SKULL BASH,47,HYDRO PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SQUIRTLE,1,TACKLE,1,TAIL WHIP,1,BUBBLE,4,TAIL WHIP,7,BUBBLE,10,WITHDRAW,13,WATER GUN,19,BITE,22,RAPID SPIN,25,BUBBLEBEAM,31,PROTECT,37,RAIN DANCE,45,SKULL BASH,53,HYDRO PUMP,,,,,,,,,,,,,,,,,,,,,,,,
14,WARTORTLE,1,TACKLE,1,TAIL WHIP,1,WITHDRAW,1,BUBBLE,4,TAIL WHIP,7,BUBBLE,10,WITHDRAW,13,WATER GUN,19,BITE,22,RAPID SPIN,25,BUBBLEBEAM,31,PROTECT,42,RAIN DANCE,55,SKULL BASH,68,HYDRO PUMP,,,,,,,,,,,,,,,,,,,,,,
15,BLASTOISE,1,TACKLE,1,TAIL WHIP,1,WITHDRAW,1,BUBBLE,4,TAIL WHIP,7,BUBBLE,10,WITHDRAW,13,WATER GUN,19,BITE,22,RAPID SPIN,25,BUBBLEBEAM,31,PROTECT,42,RAIN DANCE,55,SKULL BASH,68,HYDRO PUMP,,,,,,,,,,,,,,,,,,,,,,
